"";"";"F";"";"M";"p"
"";"n";"";"n";"";""
"Idade (média (DP)";"226";"67.34 (14.60)";"135";"58.85 (16.38)";"<0.001"
"Altura (média (DP)";"203";" 1.58 (0.08)";"124";" 1.71 (0.08)";"<0.001"
"Peso (média (DP)";"208";"72.29 (16.40)";"125";"82.00 (22.50)";"<0.001"
"IMC (média (DP)";"203";"29.17 (6.42)";"124";"27.75 (6.41)";" 0.052"
